x,y,color,segment_id
12.357582,7.1898093,Black,01_01_seg_0025_track_17
12.5951,7.1290965,Black,01_01_seg_0025_track_18
12.654049,6.194608,Black,01_01_seg_0025_track_19
7.6545196,6.087174,Black,01_01_seg_0025_track_20
7.65305,6.092236,Black,01_01_seg_0025_track_20
12.778784,5.681909,Black,01_01_seg_0025_track_21
12.319946,0.43785623,Black,01_01_seg_0026_track_01
12.343883,2.1576896,Black,01_01_seg_0026_track_02
13.104412,-0.6920559,Black,01_01_seg_0026_track_07
3.7026668,3.6833625,Black,01_01_seg_0026_track_10
3.7106223,3.7050505,Black,01_01_seg_0026_track_11
11.164442,5.235588,Black,01_01_seg_0026_track_12
2.491245,5.8500676,Black,01_01_seg_0026_track_13
2.591142,5.863558,Black,01_01_seg_0026_track_14
13.045684,1.231116,Black,01_01_seg_0026_track_15
12.77055,6.0790167,Black,01_01_seg_0026_track_16
11.758439,7.412939,Black,01_01_seg_0026_track_17
11.627491,7.1814785,Black,01_01_seg_0026_track_18
12.742901,6.2036405,Black,01_01_seg_0026_track_19
7.426353,5.8892403,Black,01_01_seg_0026_track_20
7.404197,5.900827,Black,01_01_seg_0026_track_20
12.900228,5.598268,Black,01_01_seg_0026_track_21
11.497626,-0.12241132,Black,01_01_seg_0027_track_01
11.139836,1.1076196,Black,01_01_seg_0027_track_02
13.100151,-0.68834585,Black,01_01_seg_0027_track_07
3.716014,3.5229845,Black,01_01_seg_0027_track_10
3.7151093,3.5207224,Black,01_01_seg_0027_track_11
11.300292,4.7241964,Black,01_01_seg_0027_track_12
2.186818,5.4081492,Black,01_01_seg_0027_track_13
2.2647247,5.486421,Black,01_01_seg_0027_track_14
13.227487,1.0203551,Black,01_01_seg_0027_track_15
12.120491,6.1320386,Black,01_01_seg_0027_track_16
11.97563,6.848055,Black,01_01_seg_0027_track_17
13.233728,6.204059,Black,01_01_seg_0027_track_18
12.414129,6.176907,Black,01_01_seg_0027_track_19
7.3777566,5.8625035,Black,01_01_seg_0027_track_20
7.3697906,5.8625126,Black,01_01_seg_0027_track_20
12.825019,5.3631973,Black,01_01_seg_0027_track_21
12.146298,-0.16886112,Black,01_01_seg_0028_track_01
12.119845,1.6701897,Black,01_01_seg_0028_track_02
11.055862,0.12950782,Black,01_01_seg_0028_track_03
12.662794,-0.27098817,Black,01_01_seg_0028_track_04
11.4788,6.120665,Black,01_01_seg_0028_track_05
13.044922,-0.6234287,Black,01_01_seg_0028_track_07
13.106812,-2.3575368,Black,01_01_seg_0028_track_10
13.106553,-2.3563573,Black,01_01_seg_0028_track_11
11.033668,5.650583,Black,01_01_seg_0028_track_12
2.6360772,5.8559413,Black,01_01_seg_0028_track_13
2.6644905,5.8076887,Black,01_01_seg_0028_track_14
13.362605,1.1201698,Black,01_01_seg_0028_track_15
12.700652,6.329373,Black,01_01_seg_0028_track_16
12.104138,6.969486,Black,01_01_seg_0028_track_17
11.578679,7.2808585,Black,01_01_seg_0028_track_18
12.651807,6.253194,Black,01_01_seg_0028_track_19
7.6629133,6.0862794,Black,01_01_seg_0028_track_20
7.662585,6.0873256,Black,01_01_seg_0028_track_20
12.642429,5.687996,Black,01_01_seg_0028_track_21
12.238644,-0.25261173,Black,01_01_seg_0029_track_01
12.316593,0.7390746,Black,01_01_seg_0029_track_02
10.645063,0.41367573,Black,01_01_seg_0029_track_03
12.68427,-0.35308725,Black,01_01_seg_0029_track_04
7.4601927,7.247738,Black,01_01_seg_0029_track_05
13.114876,-0.70848924,Black,01_01_seg_0029_track_07
3.704102,3.521542,Black,01_01_seg_0029_track_10
3.7125318,3.522,Black,01_01_seg_0029_track_11
11.097195,5.532675,Black,01_01_seg_0029_track_12
2.1403537,5.24752,Black,01_01_seg_0029_track_13
2.1298184,5.2489467,Black,01_01_seg_0029_track_14
13.273906,1.0329021,Black,01_01_seg_0029_track_15
12.688866,6.3011403,Black,01_01_seg_0029_track_16
12.290254,6.873896,Black,01_01_seg_0029_track_17
11.417794,7.2051373,Black,01_01_seg_0029_track_18
12.749678,6.225229,Black,01_01_seg_0029_track_19
7.376396,5.927262,Black,01_01_seg_0029_track_20
7.3481336,5.969159,Black,01_01_seg_0029_track_20
12.820958,5.5521035,Black,01_01_seg_0029_track_21
12.180755,-0.07183756,Black,01_01_seg_0030_track_01
9.760598,2.2526374,Black,01_01_seg_0030_track_03
13.048456,2.191559,Black,01_01_seg_0030_track_04
2.364423,5.0137944,Black,01_01_seg_0030_track_06
12.915064,-0.26597685,Black,01_01_seg_0030_track_07
2.7116325,4.1219597,Black,01_01_seg_0030_track_10
2.7068202,4.1263747,Black,01_01_seg_0030_track_11
10.645081,5.167273,Black,01_01_seg_0030_track_12
2.0769851,5.264073,Black,01_01_seg_0030_track_13
2.0446267,5.316744,Black,01_01_seg_0030_track_14
13.343916,1.0964552,Black,01_01_seg_0030_track_15
12.645852,6.4618917,Black,01_01_seg_0030_track_16
12.122607,7.063223,Black,01_01_seg_0030_track_17
11.514817,7.3076296,Black,01_01_seg_0030_track_18
12.474355,6.5645304,Black,01_01_seg_0030_track_19
7.1972528,5.8531256,Black,01_01_seg_0030_track_20
7.2339735,5.859551,Black,01_01_seg_0030_track_20
12.815878,5.3207903,Black,01_01_seg_0030_track_21
11.759242,-0.12548846,Black,01_01_seg_0031_track_01
2.5414112,5.1846623,Black,01_01_seg_0031_track_06
13.161525,-0.110036485,Black,01_01_seg_0031_track_07
2.7007518,4.1191397,Black,01_01_seg_0031_track_10
2.7045257,4.118137,Black,01_01_seg_0031_track_11
10.490386,5.25515,Black,01_01_seg_0031_track_12
2.761771,6.0018554,Black,01_01_seg_0031_track_13
2.683136,5.9419045,Black,01_01_seg_0031_track_14
13.272484,1.1816641,Black,01_01_seg_0031_track_15
12.775964,6.4974813,Black,01_01_seg_0031_track_16
12.028487,6.9315486,Black,01_01_seg_0031_track_17
11.640171,7.2945166,Black,01_01_seg_0031_track_18
12.649636,6.517775,Black,01_01_seg_0031_track_19
8.13068,6.0350323,Black,01_01_seg_0031_track_20
8.146857,6.048037,Black,01_01_seg_0031_track_20
13.172771,5.592411,Black,01_01_seg_0031_track_21
11.658774,-0.380553,Black,01_01_seg_0032_track_01
10.715706,0.51537174,Black,01_01_seg_0032_track_03
2.5627553,4.972164,Black,01_01_seg_0032_track_06
12.962052,-0.362336,Black,01_01_seg_0032_track_07
2.7906427,4.1171947,Black,01_01_seg_0032_track_10
2.787774,4.1149845,Black,01_01_seg_0032_track_11
13.244305,3.6584072,Black,01_01_seg_0032_track_12
2.6969872,5.916223,Black,01_01_seg_0032_track_13
2.82298,6.096017,Black,01_01_seg_0032_track_14
13.3422,1.1155502,Black,01_01_seg_0032_track_15
12.720597,6.5259237,Black,01_01_seg_0032_track_16
11.969951,7.0514708,Black,01_01_seg_0032_track_17
11.530193,7.2417884,Black,01_01_seg_0032_track_18
12.549688,6.568314,Black,01_01_seg_0032_track_19
12.075064,6.6402335,Black,01_01_seg_0032_track_20
12.043043,6.6349053,Black,01_01_seg_0032_track_20
12.831069,5.4801836,Black,01_01_seg_0032_track_21
11.6562805,-0.42033383,Black,01_01_seg_0033_track_01
2.3360693,5.0193396,Black,01_01_seg_0033_track_06
13.233678,-0.16334954,Black,01_01_seg_0033_track_07
2.8149984,3.926383,Black,01_01_seg_0033_track_10
2.8006852,3.9409444,Black,01_01_seg_0033_track_11
10.468442,3.925251,Black,01_01_seg_0033_track_12
2.1019366,5.6808205,Black,01_01_seg_0033_track_13
2.0660312,5.592344,Black,01_01_seg_0033_track_14
12.675086,0.3539563,Black,01_01_seg_0033_track_15
10.95428,6.310886,Black,01_01_seg_0033_track_16
7.4749246,6.815985,Black,01_01_seg_0033_track_17
7.632688,5.9965997,Black,01_01_seg_0033_track_19
6.423943,5.596743,Black,01_01_seg_0033_track_20
6.392721,5.5804253,Black,01_01_seg_0033_track_20
12.659531,0.097714916,Black,01_01_seg_0033_track_21
12.283154,0.06800233,Black,01_01_seg_0034_track_01
9.636072,2.5551143,Black,01_01_seg_0034_track_03
2.8677678,5.5229197,Black,01_01_seg_0034_track_06
12.94661,-0.28206176,Black,01_01_seg_0034_track_07
5.639562,5.391094,Black,01_01_seg_0034_track_09
2.722251,4.1162915,Black,01_01_seg_0034_track_10
2.7120485,4.127001,Black,01_01_seg_0034_track_11
10.74116,5.2034416,Black,01_01_seg_0034_track_12
